country,gdp (in billions),year﻿
European Union,3810.0,1980
United States,2770.0,1980
Japan,1090.0,1980
Group of 7 countries (G7) average,962.15,1980
Germany,919.61,1980
France,690.32,1980
United Kingdom,541.91,1980
Italy,459.83,1980
Canada,268.89,1980
Brazil,235.02,1980
Spain,226.0,1980
Heavily indebted countries average,194.95,1980
Mexico,194.36,1980
India,189.59,1980
China,189.4,1980
Netherlands,180.77,1980
Saudi Arabia,164.31,1980
Australia,149.83,1980
Sweden,132.06,1980
Belgium,125.29,1980
Switzerland,112.53,1980
Iran,90.04,1980
Austria,81.22,1980
South Africa,80.54,1980
Former British colonies average,79.46,1980
Indonesia,78.01,1980
Argentina,76.96,1980
Denmark,69.71,1980
Turkey,68.79,1980
Venezuela,67.14,1980
Nigeria,64.2,1980
South Korea,63.83,1980
Norway,63.71,1980
OPEC countries average,61.74,1980
Greece,54.19,1980
Finland,53.01,1980
Iraq,47.56,1980
South Asia average,47.04,1980
United Arab Emirates,43.6,1980
Algeria,42.35,1980
Middle Eastern and North Africa average,34.84,1980
Colombia,33.4,1980
Portugal,32.46,1980
Philippines,32.45,1980
Thailand,32.35,1980
Former Spanish colonies average,29.83,1980
Hong Kong,28.86,1980
Kuwait,28.64,1980
Chile,27.57,1980
Malaysia,24.94,1980
Pakistan,23.69,1980
Latin America and Caribbean average,23.54,1980
Egypt,22.91,1980
New Zealand,22.87,1980
Hungary,22.16,1980
Israel,21.78,1980
Ireland,21.36,1980
Peru,20.66,1980
Bulgaria,20.04,1980
Cuba,19.91,1980
Morocco,18.82,1980
Bangladesh,18.11,1980
Ecuador,17.88,1980
Puerto Rico,14.44,1980
Democratic Republic of the Congo,14.39,1980
Syria,13.06,1980
Singapore,11.86,1980
Cote d'Ivoire,10.18,1980
Uruguay,10.16,1980
Tunisia,8.74,1980
Guatemala,7.88,1980
Qatar,7.83,1980
Sudan,7.62,1980
Kenya,7.27,1980
Cameroon,6.74,1980
Zimbabwe,6.68,1980
Dominican Republic,6.63,1980
Trinidad and Tobago,6.24,1980
Sub-Saharan Africa average,6.19,1980
Oman,5.98,1980
Luxembourg,5.97,1980
Brunei,4.93,1980
Costa Rica,4.83,1980
Bolivia,4.54,1980
Ghana,4.45,1980
Gabon,4.28,1980
Paraguay,4.09,1980
Madagascar,4.04,1980
Sri Lanka,4.02,1980
Jordan,3.96,1980
Zambia,3.88,1980
Panama,3.81,1980
Afghanistan,3.64,1980
Mozambique,3.53,1980
Senegal,3.5,1980
Iceland,3.33,1980
Bahrain,3.07,1980
Jamaica,2.68,1980
Honduras,2.57,1980
Papua New Guinea,2.55,1980
Niger,2.51,1980
Namibia,2.17,1980
Cyprus,2.15,1980
Nicaragua,2.14,1980
Nepal,1.95,1980
Burkina Faso,1.93,1980
Mali,1.79,1980
Republic of the Congo,1.71,1980
Benin,1.41,1980
Monaco,1.38,1980
French Polynesia,1.36,1980
The Bahamas,1.34,1980
Rwanda,1.25,1980
Malta,1.25,1980
Uganda,1.24,1980
Malawi,1.24,1980
Fiji,1.2,1980
New Caledonia,1.18,1980
Mauritius,1.14,1980
Togo,1.14,1980
Sierra Leone,1.1,1980
Botswana,1.06,1980
Chad,1.03,1980
Burundi,0.9197299999999999,1980
Barbados,0.8604400000000001,1980
Liberia,0.8547100000000001,1980
Central African Republic,0.7970499999999999,1980
Suriname,0.7948999999999999,1980
Mauritania,0.70904,1980
Bermuda,0.6133,1980
Somalia,0.6035900000000001,1980
Guyana,0.6032000000000001,1980
Swaziland,0.54201,1980
Liechtenstein,0.5347000000000001,1980
Greenland,0.47605,1980
Andorra,0.44638,1980
Lesotho,0.43154,1980
The Gambia,0.24108,1980
Belize,0.19475,1980
Solomon Islands,0.16872,1980
Seychelles,0.14736000000000002,1980
Cape Verde,0.14225000000000002,1980
Bhutan,0.13565000000000002,1980
Saint Lucia,0.13341,1980
Comoros,0.12351,1980
Vanuatu,0.11342,1980
Guinea-Bissau,0.11065,1980
Antigua and Barbuda,0.11007,1980
Grenada,0.08361,1980
Saint Vincent and the Grenadines,0.06031,1980
Dominica,0.0591,1980
Tonga,0.05326,1980
Saint Kitts and Nevis,0.048,1980
Maldives,0.042460000000000005,1980
Kiribati,0.027940000000000003,1980
