country	gdp	year	xxx﻿
1	European Union 	$16.23 trillion 	2010	
2	United States 	$14.42 trillion 	2010	
3	China 	$5.95 trillion 	2010	
4	Japan 	$5.50 trillion 	2010	
	Group of 7 countries (G7) average 	$4.52 trillion 	2010	
5	Germany 	$3.28 trillion 	2010	
6	France 	$2.55 trillion 	2010	
7	United Kingdom 	$2.26 trillion 	2010	
8	Brazil 	$2.14 trillion 	2010	
9	Italy 	$2.04 trillion 	2010	
10	India 	$1.71 trillion 	2010	
11	Canada 	$1.58 trillion 	2010	
12	Russia 	$1.52 trillion 	2010	
	Non-religious countries average 	$1.51 trillion 	2010	
13	Spain 	$1.38 trillion 	2010	
	High income OECD countries average 	$1.32 trillion 	2010	
14	Australia 	$1.14 trillion 	2010	
15	Mexico 	$1.03 trillion 	2010	
16	South Korea 	$1.01 trillion 	2010	
	Cold countries average 	$892.79 billion 	2010	
	Heavily indebted countries average 	$851.92 billion 	2010	
17	Netherlands 	$774.66 billion 	2010	
18	Turkey 	$731.14 billion 	2010	
19	Indonesia 	$709.27 billion 	2010	
	Emerging markets average 	$702.23 billion 	2010	
	Eurozone average 	$672.04 billion 	2010	
	NATO countries average 	$654.63 billion 	2010	
	European Union average 	$579.77 billion 	2010	
	East Asia and Pacific average 	$577.41 billion 	2010	
20	Switzerland 	$552.22 billion 	2010	
21	Saudi Arabia 	$526.81 billion 	2010	
22	Poland 	$469.74 billion 	2010	
23	Belgium 	$468.51 billion 	2010	
24	Sweden 	$462.90 billion 	2010	
	Former British colonies average 	$436.27 billion 	2010	
	Europe average 	$431.23 billion 	2010	
25	Iran 	$422.57 billion 	2010	
26	Norway 	$421.24 billion 	2010	
	South Asia average 	$401.05 billion 	2010	
27	Venezuela 	$393.81 billion 	2010	
	Christian countries average 	$376.85 billion 	2010	
28	Austria 	$376.84 billion 	2010	
29	Argentina 	$368.74 billion 	2010	
30	South Africa 	$363.24 billion 	2010	
	Catholic countries average 	$348.54 billion 	2010	
31	Thailand 	$318.91 billion 	2010	
32	Denmark 	$313.37 billion 	2010	
33	Greece 	$292.30 billion 	2010	
34	United Arab Emirates 	$287.42 billion 	2010	
35	Colombia 	$287.02 billion 	2010	
	Religious countries average 	$271.69 billion 	2010	
	OPEC countries average 	$248.40 billion 	2010	
36	Malaysia 	$246.82 billion 	2010	
37	Finland 	$235.26 billion 	2010	
38	Israel 	$231.67 billion 	2010	
39	Hong Kong 	$228.70 billion 	2010	
40	Nigeria 	$228.64 billion 	2010	
41	Portugal 	$227.45 billion 	2010	
42	Egypt 	$218.89 billion 	2010	
43	Chile 	$217.31 billion 	2010	
44	Singapore 	$217.20 billion 	2010	
45	Ireland 	$205.90 billion 	2010	
46	Philippines 	$199.59 billion 	2010	
47	Czech Republic 	$198.48 billion 	2010	
48	Pakistan 	$176.48 billion 	2010	
	South and Central Asia average 	$176.38 billion 	2010	
49	Romania 	$164.79 billion 	2010	
50	Algeria 	$161.78 billion 	2010	
	Former Spanish colonies average 	$158.69 billion 	2010	
	Eastern Europe average 	$153.66 billion 	2010	
51	Peru 	$153.54 billion 	2010	
	Middle Eastern and North Africa average 	$153.17 billion 	2010	
52	Kazakhstan 	$148.05 billion 	2010	
	Latin America and Caribbean average 	$147.65 billion 	2010	
53	New Zealand 	$139.77 billion 	2010	
	Former Soviet republics average 	$139.72 billion 	2010	
54	Ukraine 	$136.42 billion 	2010	
55	Iraq 	$135.49 billion 	2010	
56	Hungary 	$127.96 billion 	2010	
57	Qatar 	$125.12 billion 	2010	
58	Kuwait 	$119.93 billion 	2010	
	Hot countries average 	$117.82 billion 	2010	
